rawRetailerName,rawStreetAddress,rawCity,rawState,rawZip,rawFullAddress,retailerName,streetAddress,city,state,zip,fullAddress,fiscalYear,key,decisionType,decisionDate,inspectionDate,inspectionYear,match,referenceNumber,isWarningSent,isMinorInvolved,saleToMinor,ucmNumber,warningUrl,warningDate,civilFine,ViolationCount
BALLY'S CARRY OUT,5577 CENTRAL AVENUE SOUTHEAST,WASHINGTON,DC,20019,"5577 CENTRAL AVENUE SOUTHEAST, WASHINGTON, DC 20019",Bally's Carry Out,5577 CENTRAL AVENUE SOUTHEAST,WASHINGTON,DC,20019,"5577 Central Avenue Southeast, Washington, Dc 20019",2012,"Bally's Carry Out (5577 CENTRAL AVENUE SOUTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/14/12,4/4/12,2012,,12DC000131,1,1,1,312775,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312775.htm,6/14/12,,3
GLOBE LIQUOR,4520 BENNING ROAD SOUTHEAST,WASHINGTON,DC,20019,"4520 BENNING ROAD SOUTHEAST, WASHINGTON, DC 20019",Globe Liquor,4520 BENNING ROAD SOUTHEAST,WASHINGTON,DC,20019,"4520 Benning Road Southeast, Washington, Dc 20019",2012,"Globe Liquor (4520 BENNING ROAD SOUTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/14/12,3/28/12,2012,,12DC000129,1,1,1,311583,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm311583.htm,6/14/12,,3
WELTMAN'S LIQUOR,3938 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3938 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Weltman's Liquor,3938 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3938 Minnesota Avenue Northeast, Washington, Dc 20019",2012,"Weltman's Liquor (3938 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/14/12,4/6/12,2012,,12DC000135,1,1,1,309307,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309307.htm,6/14/12,,2
DANNY'S CARRYOUT,3710 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3710 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Danny's Carryout,3710 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3710 Minnesota Avenue Northeast, Washington, Dc 20019",2012,"Danny's Carryout (3710 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/7/12,3/27/12,2012,,12DC000162,1,1,1,309853,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309853.htm,6/7/12,,3
ELI CARRY OUT,1108 MONTELLO AVENUE NORTHEAST,WASHINGTON,DC,20002,"1108 MONTELLO AVENUE NORTHEAST, WASHINGTON, DC 20002",Eli Carry Out,1108 MONTELLO AVENUE NORTHEAST,WASHINGTON,DC,20002,"1108 Montello Avenue Northeast, Washington, Dc 20002",2012,"Eli Carry Out (1108 MONTELLO AVENUE NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,6/7/12,4/11/12,2012,,12DC000236,1,1,1,309461,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309461.htm,6/7/12,,3
GEORGE'S CARRY-OUT,5120 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"5120 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019",George's Carry-out,5120 NANNIE HELEN BURROUGHS AVENUE NORTHEAST,WASHINGTON,DC,20019,"5120 Nannie Helen Burroughs Avenue Northeast, Washington, Dc 20019",2012,"George's Carry-out (5120 NANNIE HELEN BURROUGHS AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/7/12,4/11/12,2012,,12DC000151,1,1,1,313806,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm313806.htm,6/7/12,,3
GREENWAY MARKET,3542 EAST CAPITOL STREET NORTHEAST,WASHINGTON,DC,20019,"3542 EAST CAPITOL STREET NORTHEAST, WASHINGTON, DC 20019",Greenway Market,3542 EAST CAPITOL STREET NORTHEAST,WASHINGTON,DC,20019,"3542 East Capitol Street Northeast, Washington, Dc 20019",2012,"Greenway Market (3542 EAST CAPITOL STREET NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/7/12,4/6/12,2012,,12DC000139,1,1,1,309358,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309358.htm,6/7/12,,3
KING GAS STATION,2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032",King Gas Station,2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST,WASHINGTON,DC,20032,"2917 Martin Luther King Junior Avenue Southeast, Washington, Dc 20032",2012,"King Gas Station (2917 MARTIN LUTHER KING JUNIOR AVENUE SOUTHEAST, WASHINGTON, DC 20032)",Warning Letter,6/7/12,4/4/12,2012,,12DC000124,1,1,1,312741,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312741.htm,6/7/12,,2
PANDA OF DC CHINESE RESTAURANT,1807 WEST VIRGINIA AVENUE NORTHEAST,WASHINGTON,DC,20002,"1807 WEST VIRGINIA AVENUE NORTHEAST, WASHINGTON, DC 20002",Panda Of Dc Chinese Restaurant,1807 WEST VIRGINIA AVENUE NORTHEAST,WASHINGTON,DC,20002,"1807 West Virginia Avenue Northeast, Washington, Dc 20002",2012,"Panda Of Dc Chinese Restaurant (1807 WEST VIRGINIA AVENUE NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,6/7/12,4/3/12,2012,,12DC000230,1,1,1,312667,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312667.htm,6/7/12,,3
QUIK MART/CITGO,2300 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"2300 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20020",Quik Mart-citgo,2300 PENNSYLVANIA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"2300 Pennsylvania Avenue Southeast, Washington, Dc 20020",2012,"Quik Mart-citgo (2300 PENNSYLVANIA AVENUE SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,6/7/12,4/5/12,2012,,12DC000092,1,1,1,312739,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm312739.htm,6/7/12,,2
SHELL,1765 NEW YORK AVENUE NORTHEAST,WASHINGTON,DC,20002,"1765 NEW YORK AVENUE NORTHEAST, WASHINGTON, DC 20002",Shell,1765 NEW YORK AVENUE NORTHEAST,WASHINGTON,DC,20002,"1765 New York Avenue Northeast, Washington, Dc 20002",2012,"Shell (1765 NEW YORK AVENUE NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,6/7/12,4/11/12,2012,,12DC000229,1,1,1,309852,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309852.htm,6/7/12,,3
SHELL,3830 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3830 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019",Shell,3830 MINNESOTA AVENUE NORTHEAST,WASHINGTON,DC,20019,"3830 Minnesota Avenue Northeast, Washington, Dc 20019",2012,"Shell (3830 MINNESOTA AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,6/7/12,4/6/12,2012,,12DC000160,1,1,1,309323,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm309323.htm,6/7/12,,3
TRINIDAD MARKET AND DELI,1322 FLORIDA AVENUE NORTHEAST,WASHINGTON,DC,20002,"1322 FLORIDA AVENUE NORTHEAST, WASHINGTON, DC 20002",Trinidad Market And Deli,1322 FLORIDA AVENUE NORTHEAST,WASHINGTON,DC,20002,"1322 Florida Avenue Northeast, Washington, Dc 20002",2012,"Trinidad Market And Deli (1322 FLORIDA AVENUE NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,6/7/12,4/11/12,2012,,12DC000238,1,1,1,310516,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm310516.htm,6/7/12,,3
CHINA WOK,1508 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"1508 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002",China Wok,1508 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"1508 Benning Road Northeast, Washington, Dc 20002",2012,"China Wok (1508 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,5/31/12,4/3/12,2012,,12DC000223,1,1,1,307950,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm307950.htm,5/31/12,,2
CVS/PHARMACY #1348,1100 4TH STREET SOUTHWEST,WASHINGTON,DC,20024,"1100 4TH STREET SOUTHWEST, WASHINGTON, DC 20024",Cvs-pharmacy #1348,1100 4TH STREET SOUTHWEST,WASHINGTON,DC,20024,"1100 4th Street Southwest, Washington, Dc 20024",2012,"Cvs-pharmacy #1348 (1100 4TH STREET SOUTHWEST, WASHINGTON, DC 20024)",Warning Letter,5/31/12,4/3/12,2012,,12DC000175,1,1,1,308216,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm308216.htm,5/31/12,,2
JERRY'S CARRYOUT,1350 BRENTWOOD ROAD NORTHEAST,WASHINGTON,DC,20018,"1350 BRENTWOOD ROAD NORTHEAST, WASHINGTON, DC 20018",Jerry's Carryout,1350 BRENTWOOD ROAD NORTHEAST,WASHINGTON,DC,20018,"1350 Brentwood Road Northeast, Washington, Dc 20018",2012,"Jerry's Carryout (1350 BRENTWOOD ROAD NORTHEAST, WASHINGTON, DC 20018)",Warning Letter,5/31/12,4/3/12,2012,,12DC000232,1,1,1,313086,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm313086.htm,5/31/12,,3
LOWEST PRICE,1301 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20002,"1301 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20002",Lowest Price,1301 BLADENSBURG ROAD NORTHEAST,WASHINGTON,DC,20002,"1301 Bladensburg Road Northeast, Washington, Dc 20002",2012,"Lowest Price (1301 BLADENSBURG ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,5/31/12,4/3/12,2012,,12DC000237,1,1,1,307305,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm307305.htm,5/31/12,,2
PARK'S ECONOMY MARKET,1804 D STREET NORTHEAST,WASHINGTON,DC,20002,"1804 D STREET NORTHEAST, WASHINGTON, DC 20002",Park's Economy Market,1804 D STREET NORTHEAST,WASHINGTON,DC,20002,"1804 D Street Northeast, Washington, Dc 20002",2012,"Park's Economy Market (1804 D STREET NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,5/31/12,4/4/12,2012,,12DC000171,1,1,1,307174,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm307174.htm,5/31/12,,2
ANACOSTIA MARKET,1303 GOOD HOPE ROAD SOUTHEAST,WASHINGTON,DC,20020,"1303 GOOD HOPE ROAD SOUTHEAST, WASHINGTON, DC 20020",Anacostia Market,1303 GOOD HOPE ROAD SOUTHEAST,WASHINGTON,DC,20020,"1303 Good Hope Road Southeast, Washington, Dc 20020",2012,"Anacostia Market (1303 GOOD HOPE ROAD SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,5/24/12,3/27/12,2012,,12DC000107,1,1,1,308275,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm308275.htm,5/24/12,,3
DOLLARS PLUS,4514 BENNING ROAD SOUTHEAST,WASHINGTON,DC,20019,"4514 BENNING ROAD SOUTHEAST, WASHINGTON, DC 20019",Dollars Plus,4514 BENNING ROAD SOUTHEAST,WASHINGTON,DC,20019,"4514 Benning Road Southeast, Washington, Dc 20019",2012,"Dollars Plus (4514 BENNING ROAD SOUTHEAST, WASHINGTON, DC 20019)",Warning Letter,5/24/12,3/28/12,2012,,12DC000161,1,1,1,307187,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm307187.htm,5/24/12,,2
G & G GROCERIES,2924 MINNESOTA AVENUE SOUTHEAST #B,WASHINGTON,DC,20019,"2924 MINNESOTA AVENUE SOUTHEAST #B, WASHINGTON, DC 20019",G & G Groceries,2924 MINNESOTA AVENUE SOUTHEAST #B,WASHINGTON,DC,20019,"2924 Minnesota Avenue Southeast #b, Washington, Dc 20019",2012,"G & G Groceries (2924 MINNESOTA AVENUE SOUTHEAST #B, WASHINGTON, DC 20019)",Warning Letter,5/24/12,3/26/12,2012,,12DC000158,1,1,1,306316,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm306316.htm,5/24/12,,3
STADIUM EXXON,2651 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"2651 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002",Stadium Exxon,2651 BENNING ROAD NORTHEAST,WASHINGTON,DC,20002,"2651 Benning Road Northeast, Washington, Dc 20002",2012,"Stadium Exxon (2651 BENNING ROAD NORTHEAST, WASHINGTON, DC 20002)",Warning Letter,5/24/12,3/28/12,2012,,12DC000153,1,1,1,307090,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm307090.htm,5/24/12,,3
CAPITOL SUPREME MARKET,501 4TH STREET SOUTH EAST,WASHINGTON,DC,20003,"501 4TH STREET SOUTH EAST, WASHINGTON, DC 20003",Capitol Supreme Market,501 4TH STREET SOUTH EAST,WASHINGTON,DC,20003,"501 4th Street South East, Washington, Dc 20003",2012,"Capitol Supreme Market (501 4TH STREET SOUTH EAST, WASHINGTON, DC 20003)",Warning Letter,5/10/12,3/26/12,2012,,12DC000182,1,1,1,305270,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm305270.htm,5/10/12,,3
GULF,1329 KENILWORTH AVENUE NORTHEAST,WASHINGTON,DC,20019,"1329 KENILWORTH AVENUE NORTHEAST, WASHINGTON, DC 20019",Gulf,1329 KENILWORTH AVENUE NORTHEAST,WASHINGTON,DC,20019,"1329 Kenilworth Avenue Northeast, Washington, Dc 20019",2013,"Gulf (1329 KENILWORTH AVENUE NORTHEAST, WASHINGTON, DC 20019)",Warning Letter,7/18/13,6/18/13,2013,,13DC000199,1,1,1,364462,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm364462.htm,7/18/13,,3
14TH STREET SNACK BAR,4616 14TH STREET NORTHWEST,WASHINGTON,DC,20011,"4616 14TH STREET NORTHWEST, WASHINGTON, DC 20011",14th Street Snack Bar,4616 14TH STREET NORTHWEST,WASHINGTON,DC,20011,"4616 14th Street Northwest, Washington, Dc 20011",2013,"14th Street Snack Bar (4616 14TH STREET NORTHWEST, WASHINGTON, DC 20011)",Warning Letter,7/11/13,6/12/13,2013,,13DC000404,1,1,1,363168,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm363168.htm,7/11/13,,3
BERKSHIRE FOOD & DRUGS,"4201 MASSACHUSETTS AVENUE NORTHWEST, SUITE #1",WASHINGTON,DC,20016,"4201 MASSACHUSETTS AVENUE NORTHWEST, SUITE #1, WASHINGTON, DC 20016",Berkshire Food & Drugs,"4201 MASSACHUSETTS AVENUE NORTHWEST, SUITE #1",WASHINGTON,DC,20016,"4201 Massachusetts Avenue Northwest, Suite #1, Washington, Dc 20016",2013,"Berkshire Food & Drugs (4201 MASSACHUSETTS AVENUE NORTHWEST, SUITE #1, WASHINGTON, DC 20016)",Warning Letter,7/11/13,6/5/13,2013,,13DC000383,1,1,1,363700,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm363700.htm,7/11/13,,3
DAVIS EXXON,4501 14TH STREET NORTHWEST,WASHINGTON,DC,20011,"4501 14TH STREET NORTHWEST, WASHINGTON, DC 20011",Davis Exxon,4501 14TH STREET NORTHWEST,WASHINGTON,DC,20011,"4501 14th Street Northwest, Washington, Dc 20011",2013,"Davis Exxon (4501 14TH STREET NORTHWEST, WASHINGTON, DC 20011)",Warning Letter,7/11/13,6/12/13,2013,,13DC000402,1,1,1,363583,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm363583.htm,7/11/13,,3
LION'S FINE WINE & SPIRITS,3614 GEORGIA AVENUE NORTHWEST,WASHINGTON,DC,20010,"3614 GEORGIA AVENUE NORTHWEST, WASHINGTON, DC 20010",Lion's Fine Wine & Spirits,3614 GEORGIA AVENUE NORTHWEST,WASHINGTON,DC,20010,"3614 Georgia Avenue Northwest, Washington, Dc 20010",2013,"Lion's Fine Wine & Spirits (3614 GEORGIA AVENUE NORTHWEST, WASHINGTON, DC 20010)",Warning Letter,7/11/13,6/12/13,2013,,13DC000405,1,1,1,363872,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm363872.htm,7/11/13,,3
FORT DAVIS EXXON,3825 ALABAMA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"3825 ALABAMA AVENUE SOUTHEAST, WASHINGTON, DC 20020",Fort Davis Exxon,3825 ALABAMA AVENUE SOUTHEAST,WASHINGTON,DC,20020,"3825 Alabama Avenue Southeast, Washington, Dc 20020",2013,"Fort Davis Exxon (3825 ALABAMA AVENUE SOUTHEAST, WASHINGTON, DC 20020)",Warning Letter,7/3/13,6/10/13,2013,,13DC000202,1,1,1,361992,http://www.fda.gov/ICECI/EnforcementActions/WarningLetters/tobacco/ucm361992.htm,7/3/13,,2
